DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2020-03,2392,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2020-04,2670,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2020-05,2386,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2020-06,2446,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2020-07,2732,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2020-08,2613,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2020-09,3291,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2020-10,3390,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2020-11,3449,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2020-12,3601,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-01,2435,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-02,3999,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-03,4732,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-04,4270,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-05,3709,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-06,3693,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-07,3983,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-08,3847,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-09,3458,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-10,3024,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-11,3436,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2021-12,2529,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2022-01,2418,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2022-02,2787,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2022-03,3369,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2022-04,2617,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2022-05,3425,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2022-06,3576,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2022-07,2955,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2022-08,3693,NUM,0,,
